,Caption_Tokens,Label
7,ich job ich gut mir r w hat sie na n sind ich generation nun sie ist ich also c ber,1
19,lecture l ne plus lira livre par l de la de l oppression de la par l l analyse de de l de de la encore de un livre certain e de se font de la de v la left read know find amazing book author explain u misogyny political religious reading book good way men become ally,1
22,nach ich gut taxi ich den ich ich sah handy den war er gab mir da handy die hand ich warf da handy den scho die den ber,1
24,sir e die da wo sie drum sir e den sir,1
44,also ist schule wir er hat ist die hat die w hat er den r da die situation war hat er da fast die f da er da sie h er thank art beautiful ber,1
51,fra f skal den er er er st v en legger til er st om er sex b r man den man bare f r p til seg om men p han til er trist p de en mor de mange er de sine n da man de liker p de historier dele send inn kan dele folk er v dag,1
54,ich park e war ich teil meter die ich hat nach ich ich er ich l gen er l ich er l er er penis fand ich ich er n bi ich er ich gar ich tun er bi ich ich w die da mir um die situation ich ich nach sah ich hinter w tend ich den park die ne f r,1
63,oh hi long time see war e e sind dinge garten den n ich job hat ich mal garten content paar ich war super da lief toll war ich die ist sie sie da da w moment ich h sie da hat ich ich find da,1
95,f om tale ser f r en skal jo f ha en studier p te legger p n r er en men n r er en er er f r hysteria en diagnose p seg mot fra f om dag mot om vise f kan dine er kan bare er de de tie lys ser om studier mere om magazine used insist didnt get angry sport discrimination black,1
105,jo bare jo bare en n dere er er jo er er fra sin f ser f gang ta p r ting v v om fant er problem g han er mange gutter de er de er hele til oftest en skal passe p til seg b de venner han se er en fra amnesty hele gutter er seg v stand til seg er p om inn om om om deg r el sier om de deg er store f folk til er er,1
135,ich wir ber da buffet den wir mein te mein seine hand seine sah w er die hand er den blick w ich moment e war e ist ber,1
142,da l ho al festival di e dove l era e di ancora c che mi un dell donna non pi che mi testa ai un di da e un bar un per e come ancora mi di che e mi conto che da sud la come specie di da un ancora co la la con mi per non da per ne ho e ne e salver come sulla torta di quale lo steward ha due la e che mano che ancora e di io che con e poncho che mi da non co e per visto che poncho viola che,1
150,thema e l die sind da die sie ber da also sie die w die art hostile ber ist die benevolent sie u ber positive ber gilt die die nach wird h da ad sustainable underwear,1
166,er fra n r b min partner er en mand er han kan v p en gange om n r b r p mig er par timer en gang om er om er en v min tid p end mine b en men f mig om k n spiller p l mangel p er v n r else v far v mor min er r ammer mere er mere er mig er b end min partner er,1
168,ich f r da n ich b mir um die war stand die die raster den b ich ber,1
177,war ich alt ich jean die ich den ich da outfit ich ging die stra e ich mein f mal ich die n stra e bog ich um die auto mir n ich mir bi e die hat die die ich seine h sank mein er die er nach hause den rock ich f ich f f e um ich ging nach hause um e lag den tag ich f um e ber,1
188,er protest outside er er er mot er se sa er en nu r mot bare dag f r er bare saker de er ender tall fra hele g r en amnesty rapport er n mot er sa kan til ta hit til en vet om beg v uke de om h ye er de n til en mot men filmet fra g august er er ume via nu sa,1
192,er p r kan v vise de man dag man sit k n men er nu v minder om marking breath p tur til v n min bag min f mig overset ville stod er en mand sidder centrum k sit p mig til er er spiller han p v handler om men han er skal en chill pill g r en ting han problem fra er en v er til rig credit til mig person den gode f r en til dessert g r er til fra mig er p de man v ret bare husker men heller n dig,1
193,ta jupe super tu va c la peine de jupe si tu tu tonner si tu te toucher la c cause de toi e un pour de folles se l c en encore e de genre de r p te sa te nous par j c court non si tu un short la c ton ce n ton rue gros e fumer la passer si transform e en big mac de fondu pour ne en pression cause de change de trottoir un tour pour la v rit pour c nous pour c peine j plus c r de de respect font de love,1
