SeqNo,text,hashtags,comments,likes
149,149,"But just know this: if you have no inkling of the weight and complexity of what it feels like inside your body to make a decision about abortion, if you have no idea of the rage of being systemically oppressed by patriarichal laws like these for millenia; if you don’t bleed every month year after year, you ain’t really a SHE. #heforshe

https://www.bbc.com/news/world-us-canada-48275795 window seat regram: @zenbedhead ; reply à contes récemment de @therealswizzz #bbcc#revoltsummitatlanta#abortionrights#alabama

YouTube regram @russellbrand #heforshe#undertheskin#thetrews#jordanpetersen",heforshe,|No man will ever know the heavy choice a woman has to make. It’s never easy and you will carry that choice with you forever. FOREVER. Let us decide if the conditions were different I do not believe a woman would choose to unless she had no other choice. My prayers to every woman who has to come to this point in their life.|this is disgusting.|Aggree,51
150,150,"DISRUPT YOUR FEED🙅‍♀️ The Express has just published an article on our research study ""Disrupting the Feed"". Last week we launched our full social media and mental health campaign.
.
In 2018, The Female Lead and Psychologist Dr Terri Apter, Fellow Emerita of Newnham College, Cambridge teamed up to explore whether there was a causal or correlative relationship between teen aspiration, mental health and influence of social media. Much current research into  social media usage has focused on keeping safe online and time-limiting exposure to social channels. This research sought to explore whether teenage girls can be encouraged to use social media to expand, guide or reinforce their interests and aspirations by following more high-achieving women on social media.

Link in bio for the full report ! .
.⠀
#feminist #feminism #workhard #youmatter #worth #youmatter #History #slay #metoo #timesup #selfworth #believe #empowerment #InspirationalWomen #inspirational #protest #positivevibes #positivity #love #heforshe #achieve #success #support #disruptyourfeed #hustle101 #instagood #kindness #strength",heforshe,|Would love to review this - checking it out now for @coachkeren|@kate.lindop read the report|Michelle Obama is a man|Yas 👑👑👑|Yall Ellyn DeGeneres shouldn't be friends with a war criminal. And Michelle Obama shouldn't be married to one. Down with the bourgeoisie! Support black and brown working class mothers instead!,1324
151,151,"Hey lovelies💋.
Let's END PERIOD SHAMING.
Big thanks to @sisterspeaks254
You can be part of the movement too, visit their page 🙏🏾.
°
°
°
#heels4pads #endperiodshame #sheforshe #heforshe",heforshe,|Aaawwww thanks so much 🙌,81
152,152,"#heforshe is a movement launched by @unwomen that invites “men and people of all genders to stand in solidarity with women to create a bold, visible and united force for gender equality”. Last week they also co-hosted the screening of the Indian documentary ‘Son Rise’ by @vibha_bakshi_filmmaker at Siri Fort auditorium in relation to the National Girl Child Day. The movie gave an insight on some of the gender equality issues India faces as well as some of the men who are fighting for gender equality. It was an important event which spread awareness about a massive global issue and encouraged leaders to take part in the fight. It also showed how men can and need to take part in this struggle and use their privilege to lead the way. We recommend everyone to watch the documentary and to go to the ‘heforshe’ website and register themselves in the fight for gender equality. The link is found in the bio. Thanks to the New Zealand High Commissioner, Dean of Diplomatic Corps and UN Women for inviting us!

#sonrise #vibhabakshi #womensrights #genderequality #heforshe #feminism #feminisminindia #indianwomensrights #equality #dcii #danishcultureindia #danishcultureinstitute #cultureforchange #bettertogether
#newzealandhighcommission #deanofdiplomaticcorps #unwomen",heforshe,|💪💪💪,21
153,153,"The time for meowing is over... get ready to ROAR. 
Two of my brand new red belts before grading! 😍😍",heforshe,|#karate #karatelife #karatelove #karatekid #dojo #sensei #student #kumite #kata #fitness #sport #focus #martialarts #martialartslife #karategirl #fitness #children #fightingspirit #heforshe #timesup #stronggirls #fiercegirls #raisinggirls #stronggirlsclub #kick #champions #shitoryu #kiai|#thisgirlcanuk #thisgirlcan,44
154,154,"🧔🏻HE FOR SHE👱🏼‍♀️ •

Esta fue una campaña creada por la #ONU #Mujeres en el año 2014 con el propósito de lograr la igualdad de género involucrando a hombres y niños, animándoles a tomar medidas para propiciar la equidad en derechos hacia la mujer. •

En #SuperWomenEnAccion creemos en el respeto hacia el otro, en la diversidad, y en que juntos, hombres y mujeres, lograremos expandir la presencia de la mujer en los lugares de mayor exposición y oportunidad de impacto en el mundo, y lograremos el cumplimiento de derechos equitativos, comenzando por los hogares, educando a niños y niñas en ecuanimidad. •

En tu casa, ¿tienen los mismos deberes y derechos los hombres y las mujeres? •

La igualdad comienza desde lo más sencillo... Feliz día!
#Mujer #HeForShe #Hombres #HombreyMujer",heforshe,|De niña en casa mi madre nos enseñó a todos por igual ( mujer y hombres ) por ser la pequeña yo hacía cosas sencillas pero otras actividades como barrer mopear cocinar lavar y planchar entre mis 3 hermanos mayores las hacían 😍Hoy en día ellos igual comparten el hacer esas cosas con sus esposas 💚 @superwomenenaccion  También a todos se nos enseño estudiar y trabajar 💚 Mis padres lo hicieron bien jeje👏👏👏😍,19
155,155,"Savoir se réjouir de petites ""victoires"" 😬 Et vous, quelles sont vos petites victoires?
.
.
.
#sexismeordinaire #feminisme #humanisme #lesfemmesveulent  #heforshe #hollaback #chargementale #lesfemmesveulent",heforshe,|S'il pense à des choses sans que je lui aie demandé,9
156,156,"Our pledge - Our drive - Our heart!

AWLO HEFORSHE Pledge is our guide to achieving #GenderParity.

We empower! We include and we build!

#HeForShe #AWLOHeForShe #GenderParity",heforshe,"|I and my family *PLEDGE* to take a concrete step to help achieve *GENDER PARITY* more quickly to help women and girls achieve their ambitions. We call for gender-balanced leadership, respect and value difference, develope more inclusive and flexible cultures.
*Together, we can accelerate the clock.*
#IamElishaAttai
#ProudlyHeforsheAmbassador
#heforshecampaign #HeforShe #awloheforshe #HeforSheAfrica",13
157,157,"You smiled, didn't you? ❤️
(y'all better have smiled)",heforshe,"|#emmawatsonedit #emmawatsonhot #emmawatsonlove
#watsoner #emma #watson #omgpage #emmawatsonfans
#emmawatsonfanpage #emmawatsonfan #emmawatsonstyle
#emmawatsonlover #emmawatsonforever #emmawatson 
#emmacharlotteduerrewatson #heforshe #oursharedshelf #timesup #edit
#edits
#photoedit #photoedits|Yes i did😍💘|Couldn’t help it🖤|Oof i did|Failed|Yesas😍😁😁|Haha i didn’t smile|Yes i am|Oof I smiled on the second|Ofcoz why not.She is the definition of beauty|Nope almost but no.😂|Too hard for me|Yes|Almost|I smiled 😊❤️|I smiled ❤️ love u emma|Of course ♥️|A little 😩|of course, Emma makes me ALWAYS smile <33|Oh, yeah, I did🤣🤣🤣|Nope",247
158,158,"OMG 💕💕they are both so adorable #emmawatson
.
.
.
Follow @wizardlywatson more💞",heforshe,"|TAGS 💕💕
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019|💕💕💕|Adoro-te mesmo muito",113
159,159,"Happy Monday everyone! Our sister Livia is trying out different ways to wear our Shibori scarf. How would you wear yours? Tag us to be featured! 
Scarf: Sky 
Model: @youropenheart 
#mybahini #womenempoweringwomen #shibori⁠",heforshe,"|·⁠
·⁠
·⁠
·⁠
·⁠
#equalrights #equality #girlrising #girlstoschool #yourvoicematters #endtrafficking #endhumantrafficking #humantraffickingawareness #createchange #womenempowerment #onereasonwhyimaglobalfeminist #globalfeminism #timetoact #slowfashion  #empoweringgrowth #equalityforall #fairtradefashion #girlpower #heforshe #standup4humanrights  #standwithher #socialactivism #loveourgirls #socialentrepreneur #femaleentrepreneur #indigo #whomadeyourclothes|Love the color palette in this picture 😍",51
160,160,Post #49,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",4
161,161,Post #48,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",8
162,162,Post#47,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",2
163,163,Post#46,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019💕💕",16
164,164,Post #45,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",3
165,165,Post #44,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",3
166,166,Post #43,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",3
167,167,Post #42,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",10
168,168,💛💛💕Post #41,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",1
169,169,Post #40,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",3
170,170,Post #39,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",2
171,171,Post #38,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",2
172,172,Post #37,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",4
173,173,Post #36,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",4
174,174,Post #35,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",5
175,175,Not sure where this comes from but seems like good advice for a Monday in October. And there you have it. The power lies with us. #leadership #women #leaders #heforshe #metoo #strongertogether #upwardwomen #risingstrong @futurefemales,heforshe,|💪👍we can do it!,2
176,176,༄ The Bling Ring Press Conference Beverly Hills (2013) ༄,heforshe,|#emmawatson#emmawatsonfanpage#feminist#emma#actress#harrypotter#potterhead#hermionegranger#hollywood#photo#heforshe#idol#nickimoore#instagood#movie#followme#emmawatsonlove#emmawatsonfan#followers#watsoner#weloveyou#emmacharlotteduerrewatson#emmawatsonstyle#angel|💙💙💙💙💜💜|😍😍😍😍😍😍|😘😘😘😘💙💙💙💜💜💜|💚💚😘😘💜💖💖💗💗|💕😍😍 picture 4 😍😍💕|🤗🤗🤗❤❤❤❤🌸🌸🌸🌸|My Beautiful Love Emma your love love has changed my life completely you are the one who makes my life Beautiful.  You're the one who makes me strong you're everything to me . You're the one I want in my heart and soul forever I Love You with all my heart I cant live with out you. ❤🙏❤🙏❤🙏❤🙏❤🙏❤⚘😍⚘😍⚘😍⚘😍⚘😍⚘👄🔥👄🔥👄🔥👄🔥👄🔥👄🔥👄🔥⚘⚘⚘⚘⚘⚘💍⚘⚘⚘⚘⚘⚘|So beautiful....🌹❤️|Women's future leader.❤️,423
177,177,Post #3,heforshe,"|TAGS
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",6
178,178,"📣 ESGOTADAS as inscrições do Early Bird 🙌>> E começaram hoje as vendas do 1o Lote! Serão 3 dias de conexões, imersão e muito conteúdo no maior evento para mulheres na tecnologia do Brasil! Vem com a gente!! Garanta já a sua vaga no shestech.org! Link na bio. Já estamos aqui esperando por você! #shestech #shestechconference2019 #womenintech #mulheresnatecnologia #heforshe #juntassomosmais #womenintechnology",heforshe,|@camilinhacardoso1 @nayarasza @beladsmonteiro @tamaracnh|@malu_nsilva 😭😭😭|@biacodo @melvalentim|@uaihicaro alô RIP arruma ingresso pra gente|@paolobordoni,126
179,179,"♡
Happy Birthday Rowan💜.
You are the woman I respect most.
I love you so much.
@rowanblanchard 
#rowanblanchard #rileymatthews #ローワンブランチャード",heforshe,|#rowbrina #feminism #feminist #girlmeetsworld #boymeetsworld #sabrinacarpenter #サブリナカーペンター #beautifulpeople #beautiful #woman #girlpower #heforshe #ガールミーツワールド #ボーイミーツワールド #disneychannel #海外好きな人と繋がりたい #フェミニズム #girl #可愛い #いいね返し #いいね返しは絶対 #いいねした人全員フォローする,110
180,180,"Feminismo? Somos iguales? Yo creo que no.
Tenemos los mismos derechos?
POR SUPUESTO QUE SI.
Biológicamente somos distintos y desafortunadamente las mujeres muchas veces les cuesta mucho más el sacrificar la vida familiar en pos de la profesional, yo creo que cualquier mujer preparada y ambiciosa puede conseguir lo mismo que cualquier hombre, lo que pasa es que por pura biología la mujer está mucho más apegada a sus hijos, aunque el hombre pueda hacerse cargo perfectamente de ellos, a las madres les cuesta mucho más separarse y por tanto, sacrifican mucho más su carrera profesional. 🔥👍🏻
Duela a quién le duela es la verdad. .
. 
#equidaddegenero #educacionenddhh #quenadiesequedeatr #vivasylibresnosqueremos #niunamenos #justiciadegenero #heforshe  #amor #feminicidios #respeto #seraley #hembrismo#lgbt #igualitarismo #miracomonosponemos #empoderamiento #libertad #pr #nonoscallamosmas #igualdaddegeneros #equality #tegui",heforshe,|Hasta las huevas|Hasta las huevas x2|X3|Mucha wea contigo on,61
181,181,"This is the first post on a road to 1 million followers. Only 999,999 posts to go 😐💕
Please Like and share and follow @roadto1millionposts 
ps. the theme of the first 100 posts is Emma Watson (hence why the profile pic is Emma Watson) however the profile pic will change once a new theme starts. I’m planning on also posting other celebs such as Tom Felton, Daniel Radcliffe, Rupert grint, clemence posey etc. 💕💕 Sorry for such a long post but considering it’s the first in 1,000,000 I thought I might as well make this a long one. Have a good day everyone and stay safe 😊💞💕",heforshe,"|TAGS 💕💕 #emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",14
182,182,Throwback to Emma's Harry Potter days 🤩❤️ @emmawatson,heforshe,"|#emmawatsonedit #emmawatsonhot #emmawatsonlove
#watsoner #emma #watson #omgpage #emmawatsonfans
#emmawatsonfanpage #emmawatsonfan #emmawatsonstyle
#emmawatsonlover #emmawatsonforever #emmawatson 
#emmacharlotteduerrewatson #heforshe #oursharedshelf #timesup|Beautiful|She’s so beautiful🖤",241
183,183,"#HeForShe Corporate champion #SébastienBazin the Chairman and CEO of @accor is committed to empowering women and bring a change in the hospitality industry.
#PatricBassett from @accor shares his story of being inspired by women to take on the journey towards #Genderparity.
Read full Story - Link in Bio
Have you made the #HeForShe commitment to #genderequality? Click I COMMIT at HeForShe.org",heforshe,"|#men #women #Girls #Boys #GenderParity #MaleAlly #UnitedNations #UNWomen #Equality #society #impact #IMPACTReport #advocate #rights  #leadership #diversity #parenthood #future #EqualPay #ParentalLeave 
#Education #Champions #literacy #youth #Empower|Hey @heforshe, the statement by Mr Basset @accor is insulting and distasteful to say the least. DO NOT REFER TO WOMEN AS ""females""! If he truly believed in the empowerment of women he'd know it begins from the basic things such as labelling. Such a careless oversight!|@ursulavonderleyen please investigate my case: The #EU invested European citizens's money in the #DomRep to promote projects for #womenrights where my author's rights are being violated by the #EU and its partners since 8 years ago: 8 years of illicit use and a PLAGIARISM of one of my Artworks. May 2, 2019, lawyers that represent the #EuropeanUnion and its Dominican NGO partners ordered judge #ArgeliaSención , I couldn’t speak, as it was scheduled for that hearing‪. Read my letter to the @europeancommission 👉 http://bit.ly/2YwugoS ‬#solidarity  #spotlightendviolence #unga #abuseofpower",599
184,184,"Por um mundo com mais pessoas assim 💓✊🏾 #facaasuaparte 
Via: @mjd_brasil .
.
.
.
.#Repost @disrupdiva
• • • • •
.
.
.
#empoderamentofeminino #assedio #abuso #mulheraodaporra #heforshe #machismo #disrupdiva❤️",heforshe,|Acho que isso não deveria ser divulgado!! 😫|💜💜💜💜💜|👏🏻👏🏻👏🏻👏🏻👏🏻|Arrepiei|Ao ler fiquei pensando se o Bilhete era de um benfeitor ou de um malfeitor. De um segurança ou de um bandido querendo atacar a jovem.|@montanhacomelas olha que interessante. Precisamos de mais disso.|👏👏👏👏👏👏😍|Tão Digno!!! 🙏🏻 Por + bilhetes e ajudas Assim!!! 💗|😍,467
185,185,"#sundayfunday try something new this week and be brave enough not to care how it goes! .
.
.
.
#brave #trynewthings #inspiredpins #inspirechange #equalitynow #hopelivesineveryname #heforshe #inspired #pins #necklace #fashionforacause #f4f",heforshe,|f4f,10
186,186,"Ayer fue un día muy especial. Ayer 13/10 hicimos entrega de un nuevo lobo saltarin. Felicidades a Lyhonar Vegas quien recibe tan merecida distinción luego de años de esfuerzo.

Tambien hizo su salto a tropa con lo cual sale del mundo de la fantasia en la selva seeonee a la aventura en los bosques. #BuenaCaza #siemprelomejor #SiempreListos
#manada #manadagscoutjosesmith #scouts #scout #ods #sivaods #heforshe #maracay #siemprelomejor #diversion #alegria #happymoments #formandociudadanos #akela #lobatos #lobeznas #baloo #chill #hermanogris #bagheera #comunidadactiva #2019 @scoutshp @scoutsaragua",heforshe,|Felicidades Lyhonar!!,23
187,187,"We have started preparing ahead for 2023.. Spent the weekend in Abuja as we (@wimbizng) engaged key stakeholders at the WIMBIZ Women in Politics (WIMPol) Dialogue in Abuja. 
#StillLearning #HeForShe #WomensRightsAreHumansRight #WomenInPolitics",heforshe,"|There was a protest in Ikeja yesterday by women; officers wives to be precise. (Women have been deprived for too long so we’re coming back to get all they said we couldn’t! ✊🏾)
But we all know who sponsored it and the strategy behind it 😆|Nice 👍🏿|If I no follow you for that Lagos, wetin o gain oga mi?",99
188,188,"Introducing Dr Emmaline Ashley, who attended Carleton College, Northfield, MN, USA where she received a BA in Biology (1st with distinction) 2012 before attending University College Dublin School of Medicine and Medical Science - MB BCh BAO (Honours)
She is currently Clinical Lecturer and Tutor in Surgery for the RCSI. Dr. Ashley is planning on applying for Core Surgical Training in the UK with an interest in Plastic Surgery. Come find out more about her career pathway on October 19th!",heforshe,"|#womeninsurgery #womensurgeons #aws #rcsiaws #ilooklikeasurgeon #surgery #womeninstem #womeninmedicine #heforshe #surgeon #doctor #medic #medicine #medschool #medicalschool #medstudent #medlife|@Dr_edialeherbs is real I was suffering from HERPES Simplex Virus, i
was totally depressed due to my predicament , until i meet Dr Ediale the great Traditional healer who cured me. you can
also follow  him now on instagram @Dr_edialeherbs for more
information. The medicine has NO SIDE EFFECT, there's no
special diet when taking the medicine. He also has cure for
SHINGLES ECZEMA, URETHRA, WART, HIV AIDS ALS,
HEPATITIS B, CANCER, HERPES, DIABETES ULCER and lots
more.",39
189,189,"Uma das coisas que aprendi fazendo anos de terapia (na minha opinião, o melhor investimento que se pode fazer na vida) foi proteger minha sanidade, construída com muito esforço, em meio à dor e medo
.
Aprendi também  que sempre, absolutamente sempre, que me sentir desconfortável em uma situação que eu não possa controlar e que abale o meu equilíbrio emocional, que eu saiba me afastar
.
Como diz a oração: ""Deus, conceda-me serenidade para aceitar as coisas que eu não posso modificar, coragem para modificar aquelas que eu posso e sabedoria para reconhecer a diferença""
.
Eu não posso modificar o outro, nem absorver o ""barulho"" do outro. Desse vício eu já me curei mas estou ""sempre alerta"" para não repetir relacionamentos tóxicos
.
Eu só posso modificar a mim mesma e, mesmo assim, se eu estiver profundamente disposta a isso. A jornada para autoestima foi, no meu caso, bem difícil mas extremamente libertadora!
.
Eu sou a pessoa mais importante da minha vida
.
Grazi💗",heforshe,"|Melhor remédio!|#superação #empoderamento #suavozimporta #aliadas #empreendedorismofeminino #empreendedorismosocial #impactosocial #juntassomosmaisfortes #bh #mg #outubrorosa #cadamulherconta #mulhereselétricas #aquiestaoasmulheres 
#autoestima #autoconhecimento #amorpróprio #permitir
#amorexigente #codependênciaemocional #codependêncianuncamais #heforshe #rme #soeupossomasnaopossosozinha #alcoolismo #ansiedade #saudedamulher|Vergonha na cara também é ótimo pra tomar!|Vdd!",36
190,190,"Who inspires you in your life? 💕💕
.
.
.
Follow @wizardlywatson more💞",heforshe,"|TAGS 💕💕
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019|#emmawatson|Preciosidád bonita 😍😍😍😍",96
191,191,"💕💕#emmawatson
.
.
.
Follow @wizardlywatson",heforshe,"|TAGS 💕💕
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019",23
192,192,"Captain Emma 👩‍✈️💞#emmawatson
.
.
.
Follow @wizardlywatson",heforshe,"|TAGS💞💕
#emwatson
#emmacharlotteduerrewatson
#emmawatsonfanpage
#emmawatsonlove
#watsonator
#ecdw
#emmawatsonlover
#emmawatsonfan
#emmawatsonupdates
#heforshe
#heforshecampaign
#oursharedshelf
#harrypotter
#hermionegranger
#balletshoes
#despereaux
#myweekwithmarilyn
#theperksofbeingawallflower
#theblingring
#thisistheend
#noah
#regression
#colonia
#beautyandthebeast
#thecircle
#littlewoman
#littlewoman2019|Bellisima 😍😍😍😍😍😍😍😍|Ho ho hum and a bottle of rum",53
