SeqNo,text,hashtags,comments,likes
0,"This fashion line from @destinyhowardofficial was created just for @runway2life  and it was an honor walking for this designer! This line represents equality. “We are all equal regardless of race, gender, sexuality, age, religion & body type. “ and I couldn’t agree more! We can have DIFFERENT VIEWS without making someone feel less than ourselves. WE ARE ALL EQUAL IN GODS EYES 🙌🏼. Thank you to @lindacampbellgoebel and the Pureology team for the incredible hairstyle for this line! And thank you to @ltsphotography804 for these amazing shots! .
.
#equality #weareequal #equalrights #gender #religion #sexuality #race #bodytype #bodypositive #bodypositivemovement #benice #love #instagood #photooftheday #fashion #beautiful #happy #model #runway #runwaymodel #nyfashion #nyfw #designerclothes",weareequal,|Cute ❤️like your hair style here|😊💙💙,69
1,"SHE is mine and I’m f***ing proud! #SHEisMine
.
I don’t mean to upset you with what I just saw on the news, but this needs to be talked about. A four day old baby girl was found buried alive. She was found by a couple who were burying a child they had lost and heard her cries while digging a grave. She was buried alive because she was born a girl...
.
Tens of thousands of female babies are aborted every year simply because male babies are preferred by culture. This goes beyond unequal wages and the gender inequality we face in our own country, this is a matter of unequal and unworthy of LIFE 😭 What in the actual ****?
.
I believe that we are all equals, but in the case where any gender were to reign superior, should it not be female? Just saying 🙊 Without woman, there is no man. Women give birth to men, we gift them their LIFE. Without us, they wouldn’t exist. We birth men. We grow them, WE nurture them and raise them. That’s some pretty powerful stuff. How dare my daughter be viewed as “less-than” by anyone or any culture. #WeAreEqual
.
So here I am today, putting this out here because I feel compelled to try and make a difference. I’m mad, and heart broken. We need to change the world. So let’s do it, maybe we can save some babies. Let’s start a movement ♥️
.
This is my beautiful, amazing daughter whom I value EQUALLY to my son.
SHE is mine ♥️ and I am so damn proud to call her mine #EndGenderInequality
.
Will you post a photo of you and your baby girl or just a picture of her today with the same caption as mine? “SHE is mine and I’m f***ing proud! #SHEisMine #EndGenderInequality ” and join us in our fight for change! 💪🏼 Tag us so we can share and spread our message loud and proud, that these GIRLS are OURS and we are effing PROUD! 😭♥️ @theknottedcrown |#SHEisMine♥️ Even if you don’t want to tag us, please share something! Our babies deserve a voice. These baby girls deserve to be heard.",weareequal,"|How did we get there??? This is so terrible❤️|This is truly happening in same countries because of their culture and beliefs 😭 we are all equal and all of us should have equal rights. Proud mama of girls here 😍|I always wanted two girls and that’s exactly what I got!  I’m excited to raise them to be strong, smart & brave and for them to know their worth!  Who run the world?  GIRLS! ♥️🙌🏼🤗",56
2,"Assalamualaikum everyone!! Don't forget to watch the video and hit the like button!! Thank you in advance 🎉 Stay tuned for the update about the class and more information about sign language!
.
#COM165 #publicspeaking #educationalpurposes #weareequal #deaftalent #deafculture #deafpride #empoweringeveryone #spreadthelove #philanthropy",weareequal,|👍🏻👍🏻👍🏻|Great video👏👏,89
3,"fat.
thin.
dark.
fair.
tall.
short.

we are all different, but, we are EQUAL.

______________________________
#indianbookblogger #bibliophile #bookgram #bookishfeature #booklover #bookstagrammer #bookworm  #bookaddict #bookclub #bookcommunity #bookfeature #bookishlove #bookstagramindia #humanequality #booksbooksbooks #booknerd #weareequal #booksofig #jharkhandblogger",weareequal,|Wow! I love the picture as well as the caption😍|Caption...💯🔥🌟|Caption and pic😍🔥❤️❤️|Wah.. What a thought 🙌😍..|😍😍😍😍|Wow.. nice caption👏❤️|I love it! 💓|So true!!|U just described mankinds greatest mistake of Judging in just a pic containg few books.  I have to admit that u are creative as well as realist....... Keep up the creativity|💖 This is heart touching 😘 True 💕💕|😍🔥🔥|Well.. this is just amazing!😍😍|*equally beautiful|Awesome 🔥😍,260
4,"Last one maybe 😳
• @kiliau 🖤
• share on stories if your not gay 😩
•
•
•
•
•
Ignore tags or ur a fag 😘
#fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #huerc #soarrc #kungarnanation #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,"|Ill get u back💀😂|Look at my story it will help you grow!💜|What a weirrdooooo|Nice post fellow grinder mind spreading the love and dropping a follow and sorry 😄for the self promotion it’s just hard to grow now days.😔😝☺️😘😋😂🤪😚🤓😙😞😏🤨😚🙂😋😋😋😍☺️😘😙🙂🧐😉😍😗🙂😝😝🙂😋😌😛🙂😝😉😚😛🙂😝🙃🤪😚😉😛🙂🤪😋😋|That “acting” is too good , makes me wonder 😳|lmao|😂😂|👑|❄️|😂😂😂|no one:
Xbox players:|Lmaooo|Pls do more shit like this i beg|whats yo hair sayin bouiiii🤣😭",56
5,"This true or na ?👾
• @shxrtsy @kiliau @woke.xanny •share on story 😎
•
•
•
•
Tags 
#fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #huerc #soarrc #kungarnanation #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,"|Wanna play some duos? (I have 800 wins🙏)|🔥 post
Could you check out my recent, and maybe drop a like, like I did for you?|Is my recent post good? I need you’re opinion 🙌|Wow 🐐, follow us then dm us. We need players like you 👀🐐|Comment GG On My Recent And tag @bloodhounds.gg for a shoutout dm once done|@fearhazard 👀👀|👀|😂😂😂😂|😂😂|😭😭|Im a Repost Page‼️ Dm me if Interested!! Must Follow Me!!|Lmaoooo|👑|Want to join us? DM us then! 🛰❤️|😂😂😂😂🤦‍♂️❤️🐐🔥|I hate self promoting but I think im a decent Xbox player🚫🧢|😂😂😂|The last one 😂|sheesh|xanny is cracked|@woke.xanny|LMFAOOOO|😂😂😂@woke.xanny  Danny I'm showing this to everyone @ school Lmfao😂😂😂💀💀|😂😂|YOUR CRACKED 🤩, come grind for us and drop a follow @purified.ggs you might be our next recruit!🐐😍🔥|😂😂😂|🔥😂😂😂|💀|😂",69
6,"READ CAPTION:
These are my last clips of Season X, I had alot more better clips but they corrupt and I could only save a few... Enjoy!
🔥🔥🔥
Music: Lil Tecca - Ransom
🔥🔥🔥 #fortnite #memes #gaming #fortnitememes #xbox #fortniteclips #meme #gamer #follow #twitch #funny #fortnitebr #pubg #youtube #like #fortnitebattleroyale #WeAreEqual #EqualEU #Equal3k#fortniteleaks #ninja #faze #battleroyale
@equal_org @eq.deejay @vexggs @xetrayal @eq.f1lthy and more 😅",weareequal,|Im a actual bot check recent it says it all|Keep up the good work & have an amazing week! 👏🏼☺️🔥|GOATED|🐐|🐐🐐|💕|🐐|Gamer|🔥,20
7,"In 2004, former Plan International Germany Director Marianne Raven was in Nepal discussing the challenges faced by a rural community.
She saw a girl called Sharmila who didn’t have enough clothes on to keep her warm.
When Marianne asked her mother why she wasn’t being cared for, the mother replied, “Because she is a girl,” and a campaign was born.
This marked the start of a growing focus from Plan International on the needs and rights of girls that resulted in Because I am a Girl transforming girls’ lives in over 70 countries.

I personally came across @planindia
In 2014 April that was the same month I got my first salary and wanted to do something more then just spending it on me.
Great Initiative Great cause. I will always support it. ❤❤❤❤❤ I am not nominating anyone specific but all who can see this post.
#girlsgetequal
@planindia #girlsgetequalchallenge #weareequal #planindia",weareequal,|Wow|🙌|Wonderful|Smart pic,101
8,"Diversity, Equality, and Inclusion should be thought of when applying so you can get a happy meaningful job and have a real chance to be promoted, and paid fairly. 
Forgot to mention: you will actually love your job more and the people you work with!",weareequal,"|.
.
.
#HireEqual
#BestWorkPlace
#Applying
#Rightjob
#BestJobEver
#Diversity
#EqualityAct
#GenderEquality
#Inclusion
#JobsThatDontSuck
#CultureFit
#WeAreEqual
#WeAreAllEqual
#InclusionSolution
#Inclusion
#InclusionMatters
#TeamDiverse
#DiverseWorkforce
#CareerEmpowerment
#TeamInnovate
#DiverseCulture
#GoodMindSet
#JobSearching
#WorkLifestyle
#WeSupport
#BestWorkPractices
#WorkAdvice
#WorkTip
#CareerAdvice
#LoveMyTeam",5
9,"#rcchallenge #releasethehounds #fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #fortnitemexico #fortnitemobile #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,"|Hey‼️ DeaDly Needs Recruits Like You!🐐 If Your Looking For A Fortnite Team, Follow us and We Will Check You Out👀👑❤️|If you make gaming videos use my songs in the video, I got like 1.7k subs YT: MoneyyMike 
@moneyyymike_vre🧬🧬|Keep up the good work🤩❤️|GOATED🐐 Mind taking a moment of your time to DM me?👀|🔥🐐💙|👀👀 Dayumm grind for us use #vexxrc|Nice clip, we’re looking for players just like you. If you’re interested in joining follow us, DM us and start grinding by using #FearAvy #AvyOnTop in all posts. 🤯|Hey we are a small Fortnite team trying to do big things for the fortnite community. We are currently looking for members so follow then dm us 🖤|I play mobile and post INSANE trickshots🤫🤫🤫|Ima bot compared to you and my recent says it all ❤️|Keep the grind up man, you just gotta grow some more and you can pop off|🐐|💕|🐐|🐐|👀|New recruit maybe👀🙌🏼? Maybe drop us a follow and we will check you out😍💪!|Yo bro you're cracked 🔥🐐 mind checking us out and giving us a follow also grind for us using #THTrc if your interested in getting recruited Dm Us|👑|🐐|🖤|🐐|🖤|🐐|🖤|🖤|🐐",26
10,"😍Follow 😍
👉 @sketch_by_mee 👈 
for more arts like this🤩
.
.
.
.
.
#sketchbymee #instaartist #drawofthenigth #loveislove #markerdrawing #aportrait #lineart #dibujosaacuarela #artprocess #howtodraw #topcreator #copicmarkers #watercolorilustration #watercolor #ethnicart #myart #facedrawing #speedpainting #artistintheworld #keeppaiting #keepdrawing #finishedwork #weareequal #acuarelas",weareequal,|😍😍😍😍|Por qué no mencionais a los artistas que dibujan estos sketches?,251
11,"Each and every one of these animals would have had a different ending if they didn't liberate themselves with the help of humans.

Each and every one of these animals deserve their freedom. Just like the billions who are still stuck in the animal industry.

You can help them live their life the way it's supposed to be. Choose a plantbased lifestyle today.

Reposted from @sashafarm .

Their “would have” didn’t happen because these lucky ones were rescued. Now, they are living the lives that all beings deserve here at SASHA Farm.

#vegansanctuary #weareequal #animalsanctuary #animalsarefriendsnotfood #plantbasedfoods #plantbasedlife #plantbasedlifestyle #moralityoverlegality #moralsandvalues #conciousliving #ahimsa #babypigs #chickenlife",weareequal,|💚|We should keep on helping them. Don't stop and don't lose your compassion.|💔|💚🌱💚,96
12,"I would just like to promote this great organisation as they are fighting for animal rights like dogs in south korea , who are being used for consumptions. Unbelievable this still exists. Please follow them and support them! 
Repost from @hsiglobal - What do these three animals have in common? Like too many animals all over the world, they are viewed as commodities rather than sentient beings. Please remember that animals are NOT here for us, they are here WITH us 🙌

Together, we can make more humane choices and better the lives of ALL animals this #worldanimalday and every day! 💚 #animals #animalabuse #animalrights #animalright #weareequal #charity #volunteer #lightworker #earth #nature #why #humansareweird #thereisnoplanetb #climatechange #humanchange #humanchangenotclimatechange",weareequal,|🙏🏼❤️,24
13,"No Hindu no Muslim....we r all equal 
#concept #hindumuslimunity #hindumuslimlove #hindu #muslim #islamic #bajarangdal #weareequal",weareequal,|Hindus and  Muslims are BROTHERS😎😎|🤣🤣😂🐗👌,63
14,"How am I not in a pro team yet🤷‍♂️🤷‍♂️ #rcchallenge #releasethehounds #fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #fortnitemexico #fortnitemobile #fortnitevbucks #releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc #painnrc #weareexa",weareequal,"|Skills! Bro ur a goat 🐐 keep up the good work mind checking me out? #fornite #Fornite #forniteupdate #fornitebr #fornitecompliation #fornitememe|🎉|🐐|🤩|🔛🔝|DM US and follow fast 👀🤫|Ima bot compared to you and my recent says it all ❤️|only mobile content creator or pros can like this 👇😳 (made a dope vid am i goated?)|Your cracked asf bro dm me|I respect the grind brother💫🤩|Insane🔥|👀|🔥🔥|❤️❤️❤️|Follow us then dm us 🔥|I’m the recruiter for @official.sacred and I see that u got potential drop me a follow and I’ll send your video to the group chat!🚫🧢💞|🐐🔥|cause your a bot|Hey 👋 we are currently recruiting Na east, west and oce players 🌍 dm if you’re one of those ( make sure to follow us ) 🔥|🔥🙌|Bro your 🐐 you should use #darktfup tag @feardarkggs maybe you will be next pick up 🤤|I love your post❤️ Keep chasing your dreams😊you will make it to the top💫mind following me? Trying to get to 1.5k🎮🔫|@team.painn pick him up 🔥🔥🔥|Idk you should be|U should come grind for @teamruthless.inc 😍|🤯🤯|👀|Song?|Because ur not that good and ur not a pro🤷🏻‍♂️",57
15,"E Q U A L I T Y! 
It was quite an amazing experience being a part of this great group of people and @landlocked_kc #equality collection. 📸: @mundaneadventure @rhodana .
.
.
#weallarehumans #collection #drop #kclocal #midwest #fashionblogger #fashionbag #mensfashion #tshirtdesign #newdrop #streetwear #indian #americanindian #printmodel #austinmodel #guys #gq #gqstylehunt #instaboy #equalityact #equalityforall #weareequal #humanrace",weareequal,|🔥🔥🔥|This is fantastic!!!|What a cool shoot!💖🔥👏,130
16,"Last fortnite chapter 1 post.... 💔🥺
-
Use code Sendon in the item shop
-
#fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #huerc #soarrc #kungarnanation #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,"|Follow for follow? I dropped you a follow alr|Check me out! (Girl fn player)|Goated btw❤️|MONEY IN THE GRAVE🔥🔥 Lets Go Man Great Montage🔥🔥🔥|🐐|We are 1 away from 4.2k🥺|I liked ur post can u like mine? 🥺
You don’t have to like mine if u don’t want to 😌❤️ u cracked btw 💙|Going live on imstagram for customs today. Win 2 in a row and your in trinity. Good luck👀 Starts 5:00 PM ends 7:00 PM|🐐|🔥|🙌|🙏|👏|💖|i just want to say that one day trust me one day you’ll get what you want and also and really hope the best for you bro take care of your self especially your famiy ❤️ much love bro|I just want to say that one day trust me one day you'll get what you want and also I really hope for the best for you❤️much love bro|dm @officialteamal 👀 also mind dropping me a follow♥️😘|🐐|🔥|👀|😍",47
17,"Sneak peek at our 200 follower teamtage!👀❤️
-
Credit : @madebykamii @azt.xorqa @youtubekaner
Use #DepriveUprise to get noticed
-
#fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #huerc #soarrc #kungarnanation #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,|🔥🐐|🔥|🐐|🔥|👀|❤️|😱|👏|Badass video. Great editing|🐐|👏👏|Nasty Clips My Guy Keep It Up Guys! Like The Logo BTW Its Pretty Damn Nice🔥🔥|🙌🖤|😍|🔥|🤯🔥|🔛|🔝|🚀|❤️🔥|🐐|🔥|🙌|👏|🙏|💖|i just want to say that one day trust me one day you’ll get what you want and also and really hope the best for you bro take care of your self especially your famiy ❤️ much love bro|😍😍|👀👀|😮|🔥🔥|🐐🐐|🍬|🤯|🤤|❤|Song ❤|Insane 🔥|🙌|😳🔥|🙏👀🔥🐐|🔥|👏|🐐|🐐🐐|❤️❤️|🤩🤩|👀🔥|Team battle??|@narohhx @zenticgfx @assxsin_aspect|Wish i was part of the team❤️|Who’s next,70
18,"Assalamualaikum everyone!! Don't forget to watch our video to get to know the type of deaf and please hit the like button for the mark of our assignment!! Thank you in advance!! .
#COM165 #publicspeaking #educationalpurposes #weareequal #deaftalent #deafculture #deafpride #empoweringeveryone #spreadthelove #philanthropy",weareequal,|❤️|I'm distracted by ur beauty😍|Nice content !|good job !!,77
19,"“Love is patient and kind. #Love is not #jealous or #boastful or proud or rude. It does not demand its own way. It is not irritable, and it keeps no record of being wronged. It does not #rejoice about #injustice but rejoices whenever the #truth wins out. Love never gives up, never loses #faith, is always #hopeful, and endures through every circumstance.”
‭‭1 Corinthians‬ ‭13:4-7‬ ‭#NLT‬‬#bible#faith#fe#purelove#perfectlove#weareone#weareequal#loveyourneighbor#instagood#video#children#JesusisGod",weareequal,|Amen !|👏👏👏👏👏👏👏,33
20,"😍Follow 😍
👉 @sketch_by_mee 👈 
for more arts like this🤩
Art by: @esteban.arts
.
.
.
.
.
#sketchbymee #instaartist #drawofthenigth #loveislove #markerdrawing #aportrait #lineart #dibujosaacuarela #artprocess #howtodraw #topcreator #copicmarkers #watercolorilustration #watercolor #ethnicart #myart #facedrawing #speedpainting #artistintheworld #keeppaiting #keepdrawing #finishedwork #weareequal #acuarelas",weareequal,|@so__osh,203
21,"Would you believe he’s on console?! Tag 5 console players! 🔥❤️
-
Credit : @killedbyvowwl
Intro by @daantie.ig -
#fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #huerc #soarrc #kungarnanation #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,|👏|🐐🐐|😳|👀|❤️|aye that’s me|My IRL 🤩|🔥🔥|cracked 🤩|🥜🥜|:)|🔥🔥|😮😮|😳😳|🙌🙌|🔥|😍😍|🐐🐐🐐|🔥|🗿|Rc me 👀👀|👑|my clips are ass compared to you!🤯dm @betrayal.gg and you might be their next recruit?|😍😍|👀👀👀|🔥🔥|Damn bro your cracked bro seize is at 7k and we are recruiting now man follow us and drop a dm asap 💙💙💙💙|hey hope your having a great day today which i hope no one can ruin it hope something the best for you 🙏 you deserve to be happy and deserve to be loved by alot of people have a positive day today ❤️|he’s goated|@possessive_demoyt @possessive_4 @possessive_fade @deprive.gg|🤯|🤩|Thoughts on my clips? Dont be harsh😂 my controls jacked up if u enjoyed what u saw then drop a like so ik what kind of vids u like|Who’s next??|🐐🔥🐐|🔥|🐐|🔥🔥|😈👀|Holy 🔥|👀👀👀|😍😍|🍬🍬|🔥|👀👀|🐐🐐|We want you 👀 follow and dm us🔥|🙏🔥🐐👀|🔥|The music tf its trash|I Liked your Post but is my Content good? Pls Check 🔥❤️👍|❤️|🔥|👀|😱,81
22,"😍Follow 😍
👉 @sketch_by_mee 👈 
for more arts like this🤩
.
.
.
.
.
#sketchbymee #instaartist #drawofthenigth #loveislove #markerdrawing #aportrait #lineart #dibujosaacuarela #artprocess #howtodraw #topcreator #copicmarkers #watercolorilustration #watercolor #ethnicart #myart #facedrawing #speedpainting #artistintheworld #keeppaiting #keepdrawing #finishedwork #weareequal #acuarelas",weareequal,|So good 😍|💥,125
23,Working for an inclusive company usually is a great place to be because the team really makes a positive difference for all!,weareequal,"|.
.
.
.
#HireEqual
#BestWorkPlace
#JobsThatMatter
#CultureFit
#EqualTeam
#WeAreEqual
#WeAreAllEqual
#TheFutureIsEqual
#InclusionIsTheSolution
#InclusionSolution
#FairWork
#WorkFocus
#Career
#PromteWithin
#InternalPromotion
#JobSearching
#HappyPlace
#WorkLifestyle
#WeSupport
#BestWorkPractices
#MyFutureJob
#WorkViews
#WorkAdvice
#WorkTip
#CareerAdvice
#LoveMyJob
#AffinityGroup
#FamilyWork
#WorkFamily
#TeamOfLove",0
24,"Menstruation/Periods.
(How women in countries like Bangladesh & India suffer during menstruation.)
-
Bangladeshi women suffer from menstrual problems such as dysmenorrhea, menorrhagia, light and heavy bleeding during menstruation, and irregular period and are constantly worried if their menstrual flow is not a “normal” amount. They believe that a good menstrual flow is needed to stay healthy. If the flow decreases, they think that they have “bad blood” trapped within their bodies, and if it stops altogether, they are concerned that they may have become infertile. Inability to conceive is viewed negatively in Bangladeshi society and women are subjected to psychological distress by society if they are perceived as infertile. Also, there are many social, cultural and religious taboos surrounding menstruation such as staying away from foods such as fish, eggs, meat, sour fruits, etc during menstruation. Moreover, they are often advised to stay indoors as menstrual blood may attract evil spirits,as well as stay away from their own children and families.Gynecological problems such as those related to menstruation are a major concern among Bangladeshi women, but social stigma and shame stand as a barrier against seeking proper healthcare.Yes why not we stop hating women or keep thinking that they are impure while they are on periods.As @healtheworld19 have said earlier “world would be so much better if we get to understand each other’s emotions”.Women go through a lot, they just don’t show their emotions.Why not we all stand up for women who's having troubles with their menstruation. Women are heroes,they carried us for 9 months in their womb,brought us in this beautiful world.Then why are we not taking care of them??? Spread positivity,happiness joy around the world and diminish hate.Respect Women & their bodies.💪🏼
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#menstruation#menstruationproblems#periods#periodstruggles#women#womenempowerment#respectwomen#saynotoracism#weareequal#equality#unity#togetherness#inspiration#inspirational#motivation#motivational#life#lifelessons#dontbeashamed#respect#respectwomen#helpothers#spreadpositivity#healtheworld#michaeljackson#michaeljackson",weareequal,|Picture editing🔥🔥on point👌|This was good!|it was really good|Niceeee❤️❤️❤️❤️|This 👏👏🏼👏🏽👏🏾👏🏿 for real . People needs to know this|This is honestly so true! 🥺Women r truly strong and amazing !!💕💕,74
25,#bepatient #bekind #autist #lovekidswithautism #respect #weareequal #supportautism #iloveyoucousin #seattlekids #youtubekidschannels #kids #alwayssmile #lifeisbeautiful 🌕🌙⭐️😘 ❤️,weareequal,"|🥰 and he loves you, very much!! 😘",20
26,I am for all the animals. I love and cherish them and thankfully I have decided the best thing for me is to keep them out of my diet. I felt such a deep connection with this beautiful animal. 🙏❤️ #animals #turtle #wildlife #weareequal,weareequal,|I love these :),35
27,"#Repost @k_jeanpierre (@get_repost)
・・・
Stepping into the weekend...like... #Repost @_black_women_matter_
・・・
This should be the spirits every Mondays. Know that something good will always happen!
_______________________________
.
.
.
 #feminism #love #instagood #womenempowerment #equality #badasswomen #weareequal #bossbabe",weareequal,|👏👏👏,6
28,"If this doesn’t get me in @team.exa or @team.painn idk what will🤷‍♂️‼️ #rcchallenge #releasethehounds #fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #tfue #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #fortnitemexico #fortnitemobile #fortnitevbucks #releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc #painnrc #weareexa",weareequal,|I know this is self promo but could you check out my YouTube channel please it’s called sneaky gang 💕💕💕|Follow US plss @prodigy.esport 😍😍|i just want to say that one day trust me one day you’ll get what you want and also and really hope the best for you bro take care of your self especially your famiy ❤️ much love bro|@team.exa|@team.painn|@fearhazard 👀👀|We @team.palm are recruiting our 6900th follower no 🧢! ❤️ If your interested drop a follow! 🐐|King|I play mobile and post insane montages 👀🥰|@team.painn @team.exa|I post dope fnm clips & montages 🔥|Dope post bro🔥🔥 can you help me I’m trying to get noticed for Faze 🥺❤️|❤️❤️❤️|🙏|🐐|🐐|🤯|💯|💯💯|🐐|🔥|dropped a like and followed. can you do the same? atleast like? 🥺❤️|The builds makes me dizzy|And the edits but nice music,42
29,"Welcome Oblxts as our new EU lead and yes... he plays on controller!🔥❤️
-
Credit : @dv.oblxts
Use #DepriveUprise to get noticed
-
#fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #huerc #soarrc #kungarnanation #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,|🐐🔥🥳|🐐|🤯|Holy shi|🔥🔥|❤️❤️❤️|🔥🔥🔥|🐐|Insane|Cracked|big willy oblxts|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🐐|🔥🔥🔥|🔥🔥|Cracked|😍|💞|🤤|👀|🐐|🔥|🔥🔥|🔥🔥|🔥🔥|yea im pissed|Check me out🙏|Recruit me|Yo what’s the music|@ryzn_twiiz @assxsin_aspect @azt.xorqa|I’m making intros for free dm me! 😍|Yo can you dm me 🐐|I’m the best controller player ever 👌👌👌👌🙌|Ima bot compared to you and my recent says it all ❤️|Good content your cracked 🔥Can you plz drop a follow it would help out a lot also use #defineontop and follow @defineggs if you are looking for a chance to be recruited to this nutty team❤️|nice clip 🔥 keep up the grind bruh 🖤|🤩🤩|❤️|🔥|😱|👀|Wow🔥🐐|👀👀|U cracked🥵🐐Could u like and comment on my recent too please bro?🤟|yoo dm if you need any work in gfx/vfx😈✅everything i make is in my bio💞|Can you check my recent I used the hashtag and I good enough|🔥|🐐|🐐|🐐|🐐|🔥|🐐|🔥|🔥🐐|🔥|Insane|🤯|🐐|CrAcKeD|🐐|👏|🔥|🙌|🙏|Can u post me ? 💖,87
30,"As you can see @dbautomotivelit we are a husband and wife, family run business. #weareequal #50/50 #allhandsondeck #husbandandwife #familyrun #mercedes #independent #specilaist #bristol #winford #mbclub #mbspecialist #mbindependent #amg #diagnosis #servicing #repairs #mbworld #DAB_MERCEDES",weareequal,|Go on bell xxx|Respect👍,16
31,"We are very happy to announce our partnership with @devote.gg! Hopefully, we will be hosting zone wars and giveaways together and we will be promoting each other when we can so big things coming guys! 😊❤️
-
Credit : @arrive.madara 
Use #DepriveUprise to get noticed
-
#fortniteclansrecruiting #eqrecruiting #fortnite #fortnitegirls #apex
#fazesway #fortnitebattleroyale #fortnitebattlepass #fortnitebr #fortnites #fortniteleaks #fortniteclips #fortniteaccounts #fortnitememesdaily  #huerc #soarrc #kungarnanation #fortnitevbucks
#releasethehounds #teambh #apexrc #tfue #faze #goated #weareequal #gfxteam #evadeus #evaderc",weareequal,"|https://youtu.be/UBuP073srPo|Yo loving the content keep up the great work🤜🏻🤛🏻 by any chance could you check out mine! If not I understand😕|Follow for follow ❤️|🐐🐐🐐|👑👑👑|❤️❤️❤️|🤩|🔥|Follow and dm us your cracked ❤️❤️❤️|Follow for follow❤️|Who made that ❤️|🙌🙏|❤️|🔥|👏|🙌|🙏|💖|🔝|🔥|😏|❤️|🤩|👑|🔥|You should check us out
We’re a team that just started🔥
You should grind for us use #teamflixggs to get noticed|Hopefully i could join...|🐐🐐🐐|🔝|🚀|😍|🔥|👀|🔥|🔥|🔥|🔥|🔥|🔥|🔥|🔥|🔥|🎣|🎣|🔥|🔥",67
